Nombre de la carrera,Dirección,Área del conocimiento,Datos Estadísticos (DGAE-UNAM),Aciertos Mínimos por Examen de Selección,Promedio de corte pase reglamentado,Cupo,Características del aspirante,Descripción de la carrera,Palabras asociadas,Latitud,Longitud,
Antropología - FCPyS,"Facultad de Ciencias Políticas y Sociales, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 460. La asignación total de lugares para esta carrera fue de 150, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 61% del alumnado de primer ingreso son mujeres y 39% hombres.",Facultad de Ciencias Políticas y Sociales: 74,Facultad de Ciencias Políticas y Sociales: 7.76,Asignación total de 150 lugares,"Conocimientos de los elementos teóricos y metodológicos en Ciencias Sociales y de geografía e historia. Habilidades para comprender problemáticas sociales y relacionarse en contextos multiculturales. Interés por explorar fenómenos sociales y culturales, respeto por la diversidad.","La carrera de Antropología contribuye a la formación de profesionales con una perspectiva integral de la disciplina, con capacidad para generar conocimientos sobre las sociedades y culturas del presente y del pasado, con pensamiento crítico y humanista.","antropología, arqueología, antropología social, antropología física, lingüística antropológica, cultura, sociedad, diversidad","19,3158","-99,1805",
Arquitectura - Facultad de Arquitectura,"Facultad de Arquitectura, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,663. La asignación total de lugares para esta carrera fue de 1,795, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 52% del alumnado de primer ingreso son mujeres y 48% hombres.",Facultad de Arquitectura: 96,Facultad de Arquitectura: 8.34,"Asignación total de 1,795 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Conocimientos de computación e inglés. Capacidad de observación y percepción visual, habilidad para dibujar, análisis crítico y síntesis. Inclinación hacia la solución práctica de problemas.","El arquitecto proyecta y construye espacios habitables que satisfagan las necesidades humanas y, con base en sus conocimientos, genera los ambientes idóneos para lograr un modo de vivir más pleno y humano, que se traduce en desarrollo y bienestar.","arquitectura, diseño, construcción, urbanismo, proyecto arquitectónico, espacio habitable, edificación","19,3326","-99,1866",
Arquitectura - FES Acatlán,"FES Acatlán, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,663. La asignación total de lugares para esta carrera fue de 1,795, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 52% del alumnado de primer ingreso son mujeres y 48% hombres.",FES Acatlán: 77,FES Acatlán: 7.84,"Asignación total de 1,795 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Conocimientos de computación e inglés. Capacidad de observación y percepción visual, habilidad para dibujar, análisis crítico y síntesis. Inclinación hacia la solución práctica de problemas.","El arquitecto proyecta y construye espacios habitables que satisfagan las necesidades humanas y, con base en sus conocimientos, genera los ambientes idóneos para lograr un modo de vivir más pleno y humano, que se traduce en desarrollo y bienestar.","arquitectura, diseño, construcción, urbanismo, proyecto arquitectónico, espacio habitable, edificación","19,5135","-99,2484",
Arquitectura - FES Aragón,"FES Aragón, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,663. La asignación total de lugares para esta carrera fue de 1,795, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 52% del alumnado de primer ingreso son mujeres y 48% hombres.",FES Aragón: 82,FES Aragón: 8.00,"Asignación total de 1,795 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Conocimientos de computación e inglés. Capacidad de observación y percepción visual, habilidad para dibujar, análisis crítico y síntesis. Inclinación hacia la solución práctica de problemas.","El arquitecto proyecta y construye espacios habitables que satisfagan las necesidades humanas y, con base en sus conocimientos, genera los ambientes idóneos para lograr un modo de vivir más pleno y humano, que se traduce en desarrollo y bienestar.","arquitectura, diseño, construcción, urbanismo, proyecto arquitectónico, espacio habitable, edificación","19,4799","-99,0481",
Arquitectura de Paisaje - Facultad de Arquitectura,"Facultad de Arquitectura, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 437. La asignación total de lugares para esta carrera fue de 67, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 76% del alumnado de primer ingreso son mujeres y 24% hombres.",Facultad de Arquitectura: 87,Facultad de Arquitectura: 8.59,Asignación total de 67 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Creatividad en resolución de problemas espaciales, capacidad para conceptualizar y comunicar gráficamente ideas, habilidad en dibujo, capacidad de observación del medio ambiente.","El Arquitecto Paisajista planifica, diseña, construye y maneja espacios abiertos como parte del sistema natural y humano, desde una perspectiva responsable, incluyente y significativa en lo ambiental, social y cultural.","arquitectura de paisaje, paisajismo, diseño de paisaje, espacios abiertos, medio ambiente, planificación territorial, jardines, parques","19,3326","-99,1866",
Arte y Diseño - FAD Taxco,"Facultad de Artes y Diseño, Taxco de Alarcón, Guerrero",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 392. La asignación total de lugares para esta carrera fue de 120, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 60% del alumnado de primer ingreso son mujeres y 40% hombres.",FAD Taxco: 48,FAD Taxco: 7.49,Asignación total de 120 lugares (conjunto con ENES Morelia),"Haber cursado el Área de las Humanidades y de las Artes. Conocimientos básicos de inglés, interés por las TIC y manifestaciones artísticas. Habilidad para expresar con fluidez ideas de forma verbal y escrita, manejo de herramientas propias del arte y diseño, hábito de lectura e investigación.","En esta licenciatura se forman profesionales con capacidad crítica que conjugan conocimientos, habilidades y técnicas de vanguardia del arte y el diseño, usando herramientas tradicionales y digitales para propiciar la integración y transformación social.","arte, diseño, artes visuales, diseño gráfico, creatividad, comunicación visual, innovación, tecnología digital","18,5535","-99,6062",
Arte y Diseño - ENES Morelia,"ENES Unidad Morelia, Michoacán",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 392. La asignación total de lugares para esta carrera fue de 120, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 60% del alumnado de primer ingreso son mujeres y 40% hombres.",ENES Morelia: 58,ENES Morelia: 7.43,Asignación total de 120 lugares (conjunto con FAD Taxco),"Haber cursado el Área de las Humanidades y de las Artes. Conocimientos básicos de inglés, interés por las TIC y manifestaciones artísticas. Habilidad para expresar con fluidez ideas de forma verbal y escrita, manejo de herramientas propias del arte y diseño, hábito de lectura e investigación.","En esta licenciatura se forman profesionales con capacidad crítica que conjugan conocimientos, habilidades y técnicas de vanguardia del arte y el diseño, usando herramientas tradicionales y digitales para propiciar la integración y transformación social.","arte, diseño, artes visuales, diseño gráfico, creatividad, comunicación visual, innovación, tecnología digital","19,649","-101,225",
Artes Visuales - FAD Taxco,"Facultad de Artes y Diseño, Taxco de Alarcón, Guerrero",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,737. La asignación total de lugares para esta carrera fue de 162, por lo que de cada 11 estudiantes que demandaron la carrera, ingresó 1. El 69% del alumnado de primer ingreso son mujeres y 31% hombres.",FAD Taxco: 78,FAD Taxco: 8.00,Asignación total de 162 lugares (conjunto con FES Cuautitlán),Haber cursado el Área de Humanidades y Artes o conocimientos en Teoría del Arte. Habilidad en dibujo y creatividad. Capacidad de observación y percepción visual para manejar formas y colores. Interés por las expresiones culturales. Disciplina y disposición al trabajo en equipo.,"El profesional en Artes Visuales está preparado para producir obra plástica y visual significativa, mediante el dominio de los procesos técnicos, formales, conceptuales y metodológicos de las disciplinas que conforman este campo.","artes visuales, artes plásticas, pintura, escultura, grabado, fotografía, arte contemporáneo, creación artística","18,5535","-99,6062",
Artes Visuales - FES Cuautitlán,"FES Cuautitlán, Estado de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,737. La asignación total de lugares para esta carrera fue de 162, por lo que de cada 11 estudiantes que demandaron la carrera, ingresó 1. El 69% del alumnado de primer ingreso son mujeres y 31% hombres.",FES Cuautitlán: 58,FES Cuautitlán: 7.62,Asignación total de 162 lugares (conjunto con FAD Taxco),Haber cursado el Área de Humanidades y Artes o conocimientos en Teoría del Arte. Habilidad en dibujo y creatividad. Capacidad de observación y percepción visual para manejar formas y colores. Interés por las expresiones culturales. Disciplina y disposición al trabajo en equipo.,"El profesional en Artes Visuales está preparado para producir obra plástica y visual significativa, mediante el dominio de los procesos técnicos, formales, conceptuales y metodológicos de las disciplinas que conforman este campo.","artes visuales, artes plásticas, pintura, escultura, grabado, fotografía, arte contemporáneo, creación artística","19,6856","-99,1822",
Bibliotecología y Estudios de la Información - FFyL,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 206. La asignación total de lugares para esta carrera fue de 142, por lo que de cada 1 estudiante que demandó la carrera, ingresó 1. El 61% del alumnado de primer ingreso son mujeres y 39% hombres.",Facultad de Filosofía y Letras: 55,Facultad de Filosofía y Letras: 7.49,Asignación total de 142 lugares,"Conocimientos sobre los contextos sociales, económicos y culturales de México. Habilidades de comprensión lectora, comunicación escrita e interacción social. Compromiso social y disposición para trabajar en equipo.","El bibliotecólogo es el profesional que organiza, administra, preserva y difunde la información registrada en cualquier soporte, con el fin de satisfacer las necesidades de información de la sociedad.","bibliotecología, estudios de la información, bibliotecas, archivística, documentación, gestión de la información, organización del conocimiento","19,3349","-99,1879",
Biología - Facultad de Ciencias,"Facultad de Ciencias, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,428. La asignación total de lugares para esta carrera fue de 1,373, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 62% del alumnado de primer ingreso son mujeres y 38% hombres.",Facultad de Ciencias: 103,Facultad de Ciencias: 9.10,"Asignación total de 1,373 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Bases sólidas en biología, química, física y matemáticas. Gusto por la lectura, capacidad de análisis y síntesis. Interés por la naturaleza, los seres vivos y el trabajo de campo.","El biólogo estudia la estructura, función, evolución, distribución y relaciones de los seres vivos, desde el nivel molecular hasta el de la biosfera. Analiza la problemática ambiental y de los recursos naturales para su aprovechamiento racional y sustentable.","biología, seres vivos, ecología, evolución, biodiversidad, recursos naturales, sustentabilidad, investigación","19,3243","-99,1796",
Biología - FES Iztacala,"FES Iztacala, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,428. La asignación total de lugares para esta carrera fue de 1,373, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 62% del alumnado de primer ingreso son mujeres y 38% hombres.",FES Iztacala: 92,FES Iztacala: 8.64,"Asignación total de 1,373 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Bases sólidas en biología, química, física y matemáticas. Gusto por la lectura, capacidad de análisis y síntesis. Interés por la naturaleza, los seres vivos y el trabajo de campo.","El biólogo estudia la estructura, función, evolución, distribución y relaciones de los seres vivos, desde el nivel molecular hasta el de la biosfera. Analiza la problemática ambiental y de los recursos naturales para su aprovechamiento racional y sustentable.","biología, seres vivos, ecología, evolución, biodiversidad, recursos naturales, sustentabilidad, investigación","19,5207","-99,1898",
Biología - FES Zaragoza,"FES Zaragoza, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,428. La asignación total de lugares para esta carrera fue de 1,373, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 62% del alumnado de primer ingreso son mujeres y 38% hombres.",FES Zaragoza: 95,FES Zaragoza: 8.50,"Asignación total de 1,373 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Bases sólidas en biología, química, física y matemáticas. Gusto por la lectura, capacidad de análisis y síntesis. Interés por la naturaleza, los seres vivos y el trabajo de campo.","El biólogo estudia la estructura, función, evolución, distribución y relaciones de los seres vivos, desde el nivel molecular hasta el de la biosfera. Analiza la problemática ambiental y de los recursos naturales para su aprovechamiento racional y sustentable.","biología, seres vivos, ecología, evolución, biodiversidad, recursos naturales, sustentabilidad, investigación","19,3936","-99,0383",
Bioquímica Diagnóstica - Facultad de Ciencias,"Facultad de Ciencias, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,040. La asignación total de lugares para esta carrera fue de 122, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 65% del alumnado de primer ingreso son mujeres y 35% hombres.",Facultad de Ciencias: 97,Facultad de Ciencias: 8.88,Asignación total de 122 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Sólidos conocimientos en biología, química, física y matemáticas. Habilidad para el trabajo en laboratorio, observación meticulosa y capacidad de análisis.","El Bioquímico Diagnóstico es el profesionista que aplica los conocimientos de la bioquímica, la biología molecular y la inmunología para realizar e interpretar análisis clínicos que contribuyan al diagnóstico, pronóstico y tratamiento de enfermedades.","bioquímica, diagnóstico, análisis clínicos, laboratorio, biología molecular, inmunología, salud, enfermedad","19,3243","-99,1796",
Ciencia de la Nutrición Humana - Facultad de Medicina,"Facultad de Medicina, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,595. La asignación total de lugares para esta carrera fue de 187, por lo que de cada 14 estudiantes que demandaron la carrera, ingresó 1. El 75% del alumnado de primer ingreso son mujeres y 25% hombres.",Facultad de Medicina: 104,Facultad de Medicina: 9.33,Asignación total de 187 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Conocimientos de biología, química y matemáticas. Interés por la salud, la alimentación y el bienestar humano. Vocación de servicio y sensibilidad social.","El Licenciado en Ciencia de la Nutrición Humana es el profesional que estudia la relación entre la alimentación, los nutrimentos y la salud, para prevenir y tratar enfermedades, así como para promover estilos de vida saludables a nivel individual y colectivo.","nutrición, alimentación, salud, nutrimentos, dietética, salud pública, metabolismo, bienestar","19,3242","-99,1817",
Ciencia de Materiales Sustentables - ENES Morelia,"ENES Unidad Morelia, Michoacán",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 133. La asignación total de lugares para esta carrera fue de 52, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 35% del alumnado de primer ingreso son mujeres y 65% hombres.",ENES Unidad Morelia: 70,ENES Unidad Morelia: 7.98,Información no disponible,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Conocimientos de matemáticas, física y química. Interés por la ciencia, la tecnología y la innovación. Vocación por la sustentabilidad y el cuidado del medio ambiente.","La licenciatura forma profesionales capaces de desarrollar, caracterizar y aplicar materiales con un enfoque sustentable, considerando su ciclo de vida completo y minimizando su impacto ambiental.","ciencia de materiales, sustentabilidad, materiales sustentables, ingeniería de materiales, innovación, medio ambiente","19,649","-101,225",
Ciencia Forense - Facultad de Medicina,"Facultad de Medicina, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 4,530. La asignación total de lugares para esta carrera fue de 179, por lo que de cada 25 estudiantes que demandaron la carrera, ingresó 1. El 65% del alumnado de primer ingreso son mujeres y 35% hombres.",Facultad de Medicina: 113,Facultad de Medicina: 9.41,Asignación total de 179 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Sólidos conocimientos en ciencias naturales, biología y química. Capacidad de observación, análisis lógico-deductivo y ética profesional.","El científico forense es el experto que aplica los conocimientos científicos y técnicos de diversas disciplinas para la investigación de hechos delictivos, aportando pruebas periciales que coadyuvan en la procuración y administración de justicia.","ciencia forense, criminalística, investigación criminal, peritaje, justicia, evidencia, laboratorio forense","19,3242","-99,1817",
Ciencias Agroforestales - ENES Morelia,"ENES Unidad Morelia, Michoacán","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 84. La asignación total de lugares para esta carrera fue de 50, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 44% del alumnado de primer ingreso son mujeres y 56% hombres.",ENES Unidad Morelia: 45,ENES Unidad Morelia: 7.50,Información no disponible,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Conocimientos de biología, química y matemáticas. Interés por el campo, los recursos forestales y agropecuarios, y la sustentabilidad.","El licenciado en Ciencias Agroforestales integra conocimientos de agricultura, ganadería y forestería para el manejo sustentable de sistemas productivos, considerando aspectos ecológicos, económicos y sociales para mejorar la calidad de vida rural.","agroforestería, agricultura, forestería, ganadería, manejo de recursos naturales, desarrollo rural, sustentabilidad","19,649","-101,225",
